Perfil,hnominal,G,h,t,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw,
--,--,kg/m,mm,mm,mm,mm,mm,cm^2,mm,mm,--,mm,mm,m^2/m,m^2/t,cm^4,cm^3,cm^3,cm,cm^2,cm^4,cm^3,cm^3,cm,mm,cm^4,cm^6,
IPE,80,6,80,46,3.8,5.2,5,7.64,69.6,59.6,0,0,0,0.33,54.64,80.14,20.03,23.22,3.24,3.58,8.49,3.69,5.82,1.05,20.1,0.7,0.12,120
IPE,100,8.1,100,55,4.1,5.7,7,10.3,88.6,74.6,0,0,0,0.4,49.33,171,34.2,39.41,4.07,5.08,15.92,5.79,9.15,1.24,23.7,1.2,0.35,350
IPE,120,10.4,120,64,4.4,6.3,7,13.2,107.4,93.4,0,0,0,0.48,45.82,317.8,52.96,60.73,4.9,6.31,27.67,8.65,13.58,1.45,25.2,1.74,0.89,890
IPE,140,12.9,140,73,4.7,6.9,7,16.4,126.2,112.2,0,0,0,0.55,42.7,541.2,77.32,88.34,5.74,7.64,44.92,12.31,19.25,1.65,26.7,2.45,1.98,1980
IPE,160,15.8,160,82,5,7.4,9,20.1,145.2,127.2,0,0,0,0.62,39.47,869.3,108.7,123.9,6.58,9.66,68.31,16.66,26.1,1.84,30.34,3.6,3.96,3960
IPE,180,18.8,180,91,5.3,8,9,23.9,164,146,10,48,48,0.7,37.13,1317,146.3,166.4,7.42,11.25,100.9,22.16,34.6,2.05,31.84,4.79,7.43,7430
IPE,200,22.4,200,100,5.6,8.5,12,28.5,183,159,10,54,58,0.77,34.36,1943,194.3,220.6,8.26,14,142.4,28.47,44.61,2.24,36.66,6.98,12.99,12990
IPE,220,26.2,220,110,5.9,9.2,12,33.4,201.6,177.6,12,60,62,0.85,32.36,2772,252,285.4,9.11,15.88,204.9,37.25,58.11,2.48,38.36,9.07,22.67,22670
IPE,240,30.7,240,120,6.2,9.8,15,39.1,220.4,190.4,12,66,68,0.92,30.02,3892,324.3,366.6,9.97,19.14,283.6,47.27,73.92,2.69,43.37,12.88,37.39,37390
IPE,270,36.1,270,135,6.6,10.2,15,45.9,249.6,219.6,16,72,72,1.04,28.86,5790,428.9,484,11.23,22.14,419.9,62.2,96.95,3.02,44.57,15.94,70.58,70580
IPE,300,42.2,300,150,7.1,10.7,15,53.8,278.6,248.6,16,72,86,1.16,27.46,8356,557.1,628.4,12.46,25.68,603.8,80.5,125.2,3.35,46.07,20.12,125.9,125900
IPE,330,49.1,330,160,7.5,11.5,18,62.6,307,271,16,78,96,1.25,25.52,11770,713.1,804.3,13.71,30.81,788.1,98.52,153.7,3.55,51.59,28.15,199.1,199100
IPE,360,57.1,360,170,8,12.7,18,72.7,334.6,298.6,22,88,88,1.35,23.7,16270,903.6,1019,14.95,35.14,1043,122.8,191.1,3.79,54.49,37.32,313.6,313600
IPE,400,66.3,400,180,8.6,13.5,21,84.5,373,331,22,96,98,1.47,22.12,23130,1160,1307,16.55,42.69,1318,146.4,229,3.95,60.2,51.08,490,490000
IPE,450,77.6,450,190,9.4,14.6,21,98.8,420.8,378.8,24,100,102,1.61,20.69,33740,1500,1702,18.48,50.85,1676,176.4,276.4,4.12,63.2,66.87,791,791000
IPE,500,90.7,500,200,10.2,16,21,116,468,426,24,102,112,1.74,19.23,48200,1930,2194,20.43,59.87,2142,214.2,335.9,4.31,66.8,89.29,1249,1249000
IPE,550,106,550,210,11.1,17.2,24,134,515.6,467.6,24,110,122,1.88,17.78,67120,2440,2787,22.35,72.34,2668,254.1,400.5,4.45,73.62,123.2,1884,1884000
IPE,600,122,600,220,12,19,24,156,562,514,27,116,118,2.02,16.45,92080,3070,3512,24.3,83.78,3387,307.9,485.6,4.66,78.12,165.4,2846,2846000
